10.01 15:00:52 STATS: vdl.0 cache, locks:0
10.01 15:01:52 STATS: vdl.0 cache, locks:0
10.01 15:02:52 STATS: vdl.0 cache, locks:0
10.01 15:03:52 STATS: vdl.0 cache, locks:0
10.01 15:04:52 STATS: vdl.0 cache, locks:0
10.01 15:05:52 STATS: vdl.0 cache, locks:0
10.01 15:06:52 STATS: vdl.0 cache, locks:0
10.01 15:07:52 STATS: vdl.0 cache, locks:0
10.01 15:08:52 STATS: vdl.0 cache, locks:0
10.01 15:09:52 STATS: vdl.0 cache, locks:0
10.01 15:10:52 STATS: vdl.0 cache, locks:0
10.01 15:11:52 STATS: vdl.0 cache, locks:0
10.01 15:12:52 STATS: vdl.0 cache, locks:0
10.01 15:13:52 STATS: vdl.0 cache, locks:0
10.01 15:14:52 STATS: vdl.0 cache, locks:0
10.01 15:15:52 STATS: vdl.0 cache, locks:0
10.01 15:16:52 STATS: vdl.0 cache, locks:0
10.01 15:17:52 STATS: vdl.0 cache, locks:0
10.01 15:18:52 STATS: vdl.0 cache, locks:0
10.01 15:19:52 STATS: vdl.0 cache, locks:0
10.01 15:20:52 STATS: vdl.0 cache, locks:0
10.01 15:21:52 STATS: vdl.0 cache, locks:0
10.01 15:22:52 STATS: vdl.0 cache, locks:0
10.01 15:23:52 STATS: vdl.0 cache, locks:0
10.01 15:24:52 STATS: vdl.0 cache, locks:0
10.01 15:25:52 STATS: vdl.0 cache, locks:0
10.01 15:26:52 STATS: vdl.0 cache, locks:0
10.01 15:27:52 STATS: vdl.0 cache, locks:0
10.01 15:28:52 STATS: vdl.0 cache, locks:0
10.01 15:29:52 STATS: vdl.0 cache, locks:0
10.01 15:30:52 STATS: vdl.0 cache, locks:0
10.01 15:31:52 STATS: vdl.0 cache, locks:0
10.01 15:32:52 STATS: vdl.0 cache, locks:0
10.01 15:33:52 STATS: vdl.0 cache, locks:0
10.01 15:34:52 STATS: vdl.0 cache, locks:0
10.01 15:35:52 STATS: vdl.0 cache, locks:0
10.01 15:36:52 STATS: vdl.0 cache, locks:0
10.01 15:37:52 STATS: vdl.0 cache, locks:0
10.01 15:38:52 STATS: vdl.0 cache, locks:0
10.01 15:39:52 STATS: vdl.0 cache, locks:0
10.01 15:40:52 STATS: vdl.0 cache, locks:0
10.01 15:41:52 STATS: vdl.0 cache, locks:0
10.01 15:42:52 STATS: vdl.0 cache, locks:0
10.01 15:43:52 STATS: vdl.0 cache, locks:0
10.01 15:44:52 STATS: vdl.0 cache, locks:0
10.01 15:45:52 STATS: vdl.0 cache, locks:0
10.01 15:46:52 STATS: vdl.0 cache, locks:0
10.01 15:47:52 STATS: vdl.0 cache, locks:0
10.01 15:48:52 STATS: vdl.0 cache, locks:0
10.01 15:49:52 STATS: vdl.0 cache, locks:0
10.01 15:50:52 STATS: vdl.0 cache, locks:0
10.01 15:51:52 STATS: vdl.0 cache, locks:0
10.01 15:52:52 STATS: vdl.0 cache, locks:0
10.01 15:53:52 STATS: vdl.0 cache, locks:0
10.01 15:54:52 STATS: vdl.0 cache, locks:0
10.01 15:55:52 STATS: vdl.0 cache, locks:0
10.01 15:56:52 STATS: vdl.0 cache, locks:0
10.01 15:57:52 STATS: vdl.0 cache, locks:0
10.01 15:58:52 STATS: vdl.0 cache, locks:0
10.01 15:59:52 STATS: vdl.0 cache, locks:0
